DateTime;ErrorDescription;idCase;Task_Name;URL;Method_Name;InterfaceTime(MM:ss:mmm)
12/06/2020 17:09:08;The content type (application/json) of the interface response is different from the expected one. The remote server returned an error: (404) Not Found.. The patient with the given ID was not found;2101;Betegadatok lekérése;http://localhost:3000/api/556677889;GET; 00:00:020
12/06/2020 17:14:41;The content type (application/json) of the interface response is different from the expected one. The remote server returned an error: (404) Not Found.. The patient with the given ID was not found;2103;Betegadatok lekérése;http://localhost:3000/api/445566778;GET; 00:00:009
12/06/2020 17:15:34;The content type (application/json) of the interface response is different from the expected one. The remote server returned an error: (404) Not Found.. The patient with the given ID was not found;2104;Betegadatok lekérése;http://localhost:3000/api/445566778;GET; 00:00:015
12/06/2020 17:15:41;The content type (application/json) of the interface response is different from the expected one. The remote server returned an error: (404) Not Found.. The patient with the given ID was not found;2103;Betegadatok lekérése;http://localhost:3000/api/445566778;GET; 00:00:013
12/06/2020 17:16:34;The content type (application/json) of the interface response is different from the expected one. The remote server returned an error: (404) Not Found.. The patient with the given ID was not found;2104;Betegadatok lekérése;http://localhost:3000/api/445566778;GET; 00:00:017
12/06/2020 17:40:45;The content type (application/json) of the interface response is different from the expected one. The remote server returned an error: (404) Not Found.. The patient with the given ID was not found;2105;Betegadatok lekérése;http://localhost:3000/api/445566773;GET; 00:00:027
12/06/2020 17:41:46;The content type (application/json) of the interface response is different from the expected one. The remote server returned an error: (404) Not Found.. The patient with the given ID was not found;2105;Betegadatok lekérése;http://localhost:3000/api/445566773;GET; 00:00:015
12/06/2020 17:44:51;The content type (application/json) of the interface response is different from the expected one. The remote server returned an error: (404) Not Found.. The patient with the given ID was not found;2106;Betegadatok lekérése;http://localhost:3000/api/332211665;GET; 00:00:028
12/06/2020 17:45:51;The content type (application/json) of the interface response is different from the expected one. The remote server returned an error: (404) Not Found.. The patient with the given ID was not found;2106;Betegadatok lekérése;http://localhost:3000/api/332211665;GET; 00:00:050
12/06/2020 17:47:43;The content type (application/json) of the interface response is different from the expected one. The remote server returned an error: (404) Not Found.. The patient with the given ID was not found;2107;Betegadatok lekérése;http://localhost:3000/api/321123654;GET; 00:00:039
12/06/2020 17:48:44;The content type (application/json) of the interface response is different from the expected one. The remote server returned an error: (404) Not Found.. The patient with the given ID was not found;2107;Betegadatok lekérése;http://localhost:3000/api/321123654;GET; 00:00:006
12/06/2020 17:49:41;The content type (application/json) of the interface response is different from the expected one. The remote server returned an error: (404) Not Found.. The patient with the given ID was not found;2108;Betegadatok lekérése;http://localhost:3000/api/111222456;GET; 00:00:022
12/06/2020 17:50:19;The content type (application/json) of the interface response is different from the expected one. The remote server returned an error: (404) Not Found.. The patient with the given ID was not found;2109;Betegadatok lekérése;http://localhost:3000/api/123432123;GET; 00:00:076
12/06/2020 17:50:42;The content type (application/json) of the interface response is different from the expected one. The remote server returned an error: (404) Not Found.. The patient with the given ID was not found;2108;Betegadatok lekérése;http://localhost:3000/api/111222456;GET; 00:00:004
12/06/2020 17:51:19;The content type (application/json) of the interface response is different from the expected one. The remote server returned an error: (404) Not Found.. The patient with the given ID was not found;2109;Betegadatok lekérése;http://localhost:3000/api/123432123;GET; 00:00:024
12/06/2020 17:56:39;The content type (application/json) of the interface response is different from the expected one. The remote server returned an error: (404) Not Found.. The patient with the given ID was not found;2110;Betegadatok lekérése;http://localhost:3000/api/123454346;GET; 00:00:016
